"Name of grant recipient","Known as","Funding area/Panel","Grant category","Amount funded","Decision date","Closing date","State","Country","Federal electorate"
"Giuliani, Angela","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","SA","AUSTRALIA","ADELAIDE"
"Grech, Giuseppina","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","GELLIBRAND"
"Hamilton, Emma","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Harle, Josh","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","GRAYNDLER"
"Hart, Brigitte","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","GELLIBRAND"
"Hawkins-Andersen, Jana","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","GRAYNDLER"
"Hawley, Joanna","Jo Hawley","Arts Funding Division","ArtStart","$9,505.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Herbert, Grace","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","TAS","AUSTRALIA","DENISON"
"Hind, Kathryn","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","ACT","AUSTRALIA","FENNER"
"Hoogstad Hay, Marcel","","Arts Funding Division","ArtStart","$9,765.00","20-NOV-2014","24-SEP-2014","SA","AUSTRALIA","HINDMARSH"
"Houghton, Katie-Ann","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","SA","AUSTRALIA","BOOTHBY"
"Isaac, Rose","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Jackson, Anne-Marie","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Jackson, Courtney","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","SA","AUSTRALIA","ADELAIDE"
"Johnson, Naomi","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","WARRINGAH"
"Kanga, Zubin","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","","UK",""
"Kenny, Aaron","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","SA","AUSTRALIA","STURT"
"Kohler, Tamara","","Arts Funding Division","ArtStart","$7,525.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Kolaitis, Benjamin","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Koops, Annika","","Arts Funding Division","ArtStart","$9,940.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","BATMAN"
"Langdon, Julian","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","WILLS"
"Ledwich, Jessica","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Longmuir, Sophie","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","NORTH SYDNEY"
"Lopez, Zachary","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","QLD","AUSTRALIA","LONGMAN"
"Loughhead, Anja","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","ACT","AUSTRALIA","CANBERRA"
"Luke, Jarryd","","Arts Funding Division","ArtStart","$9,095.00","20-NOV-2014","24-SEP-2014","QLD","AUSTRALIA","HERBERT"
"Macaulay, James","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","DEAKIN"
"MacEwan, Jemila","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NY","USA",""
"Manderson-Galvin, Tobias","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"McBride, William","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","WILLS"
"McKinnon, Annie","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","PARKES"
"Miller-Yeaman, Anna","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Ong, Yunyu","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","BRADFIELD"
"Ouch, David","","Arts Funding Division","ArtStart","$9,954.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Page, Kyle","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","QLD","AUSTRALIA","HERBERT"
"Pether, Joshua","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","WA","AUSTRALIA","PERTH"
"Phillips, Owen","","Arts Funding Division","ArtStart","$9,992.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Pittock, Kenneth","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","LA TROBE"
"Potter, Alice","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","SA","AUSTRALIA","BOOTHBY"
"Reid, Lorin","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","CUNNINGHAM"
"Roberts, Georgina","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","WARRINGAH"
"Robertson, Claire","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","BATMAN"
"Robinson, Emily","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","BATMAN"
"Rowe, Amelia","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","TAS","AUSTRALIA","BASS"
"Ryan, Brigit","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","BATMAN"
"Ryan, Catherine","","Arts Funding Division","ArtStart","$9,650.00","20-NOV-2014","24-SEP-2014","QLD","AUSTRALIA","HERBERT"
"Sanders, Eliza","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","ACT","AUSTRALIA","FENNER"
"Schack-Arnott, Freya","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","","DENMARK",""
"Schostakowski, Benjamin","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","KINGSFORD SMITH"
"Slater, Rebecca","","Arts Funding Division","ArtStart","$9,900.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Smith, Nicholas","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","WILLS"
"Son, Kenny Yongsoo","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","HUGHES"
"Symons, Georgia","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Taylor, Matthew","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","SA","AUSTRALIA","ADELAIDE"
"Thompson, Ella","","Arts Funding Division","ArtStart","$9,934.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","BATMAN"
"van de Geer, Louris","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Vik, Christopher","Chris Vik","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","BATMAN"
"Wellink, Suzanna","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","CHIFLEY"
"Wilson, Alana","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NSW","AUSTRALIA","WENTWORTH"
"Wilson, Angus","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","QLD","AUSTRALIA","BONNER"
"Winkelman, Ben","Ben Winkelman","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","NY","USA",""
"Winkler, Belinda","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","TAS","AUSTRALIA","DENISON"
"Woods, Benjamin","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Wright, Shevaun","","Arts Funding Division","ArtStart","$10,000.00","20-NOV-2014","24-SEP-2014","CALIFORNIA","USA",""
"Mirima Dawang Woorlab-gerring Language and Culture Centre","","Literature Section","LOTE Publishing Initiative 2014","$10,000.00","20-NOV-2014","01-OCT-2014","WA","AUSTRALIA","DURACK"
"ACT Writers Centre Inc","","Literature Section","Program Grants 14-15","$40,000.00","20-NOV-2014","01-OCT-2014","ACT","AUSTRALIA","CANBERRA"
"NSW Writers' Centre Inc","","Literature Section","Program Grants 14-15","$50,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","GRAYNDLER"
"NT Writers' Centre Inc","","Literature Section","Program Grants 14-15","$45,000.00","20-NOV-2014","01-OCT-2014","NT","AUSTRALIA","SOLOMON"
"Quadrant Magazine Ltd","Quandrant Magazine Ltd","Literature Section","Program Grants 14-15","$48,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","GRAYNDLER"
"Queensland Writers Centre Association Inc","","Literature Section","Program Grants 14-15","$27,580.00","20-NOV-2014","01-OCT-2014","QLD","AUSTRALIA","GRIFFITH"
"SA Writers' Centre Incorporated (now trading as Writers SA)","","Literature Section","Program Grants 14-15","$45,000.00","20-NOV-2014","01-OCT-2014","SA","AUSTRALIA","ADELAIDE"
"Tasmanian Writers' Centre Inc","","Literature Section","Program Grants 14-15","$45,000.00","20-NOV-2014","01-OCT-2014","TAS","AUSTRALIA","DENISON"
"The English Association Sydney Inc","Southerly Magazine","Literature Section","Program Grants 14-15","$40,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","SYDNEY"
"The Literature Centre Inc","","Literature Section","Program Grants 14-15","$45,000.00","20-NOV-2014","01-OCT-2014","WA","AUSTRALIA","FREMANTLE"
"University of Western Sydney (Writing and Society Research Centre)","","Literature Section","Program Grants 14-15","$55,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","BLAXLAND"
"Writers Victoria","","Literature Section","Program Grants 14-15","$44,750.00","20-NOV-2014","01-OCT-2014","VIC","AUSTRALIA","MELBOURNE"
"Writing WA Inc","","Literature Section","Program Grants 14-15","$40,000.00","20-NOV-2014","01-OCT-2014","WA","AUSTRALIA","PERTH"
"Adelaide Festival Corporation","Adelaide Festival of the Arts","Literature Section","Promotion: Australian and International 14-15","$25,000.00","20-NOV-2014","01-OCT-2014","SA","AUSTRALIA","ADELAIDE"
"Amphora Arts","","Literature Section","Promotion: Australian and International 14-15","$8,000.00","20-NOV-2014","01-OCT-2014","","UK",""
"Arts Mildura","artsmildura","Literature Section","Promotion: Australian and International 14-15","$10,000.00","20-NOV-2014","01-OCT-2014","VIC","AUSTRALIA","MALLEE"
"Australian Children's Literature Alliance","","Literature Section","Promotion: Australian and International 14-15","$8,000.00","20-NOV-2014","01-OCT-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Brisbane Writers Festival Association Inc. t/a UPLIT","UPLIT","Literature Section","Promotion: Australian and International 14-15","$25,000.00","20-NOV-2014","01-OCT-2014","QLD","AUSTRALIA","GRIFFITH"
"Byron Writers Festival","previously Northern Rivers Writers' Centre","Literature Section","Promotion: Australian and International 14-15","$25,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","RICHMOND"
"Creative Clunes Inc","Back to Booktown","Literature Section","Promotion: Australian and International 14-15","$10,000.00","20-NOV-2014","01-OCT-2014","VIC","AUSTRALIA","BALLARAT"
"Emerging Writers' Festival Inc","","Literature Section","Promotion: Australian and International 14-15","$15,000.00","20-NOV-2014","01-OCT-2014","VIC","AUSTRALIA","MELBOURNE"
"Gadigal Information Service","","Literature Section","Promotion: Australian and International 14-15","$6,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","SYDNEY"
"Melbourne Writers' Festival Inc","","Literature Section","Promotion: Australian and International 14-15","$25,000.00","20-NOV-2014","01-OCT-2014","VIC","AUSTRALIA","MELBOURNE"
"NSW Writers' Centre Inc","","Literature Section","Promotion: Australian and International 14-15","$10,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","GRAYNDLER"
"NT Writers' Centre Inc","","Literature Section","Promotion: Australian and International 14-15","$25,000.00","20-NOV-2014","01-OCT-2014","NT","AUSTRALIA","SOLOMON"
"Perth International Arts Festival (t/u University of WA)","","Literature Section","Promotion: Australian and International 14-15","$25,000.00","20-NOV-2014","01-OCT-2014","WA","AUSTRALIA","CURTIN"
"Poetry International Foundation","","Literature Section","Promotion: Australian and International 14-15","$6,000.00","20-NOV-2014","01-OCT-2014","","NETHERLANDS",""
"Queensland Poetry Festival Inc","Queensland Poetry Festival","Literature Section","Promotion: Australian and International 14-15","$12,500.00","20-NOV-2014","01-OCT-2014","QLD","AUSTRALIA","GRIFFITH"
"SA Writers' Centre Incorporated (now trading as Writers SA)","","Literature Section","Promotion: Australian and International 14-15","$10,000.00","20-NOV-2014","01-OCT-2014","SA","AUSTRALIA","ADELAIDE"
"Sydney Writers' Festival Ltd","","Literature Section","Promotion: Australian and International 14-15","$25,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","SYDNEY"
"The Red Room Company Ltd","","Literature Section","Promotion: Australian and International 14-15","$8,000.00","20-NOV-2014","01-OCT-2014","NSW","AUSTRALIA","SYDNEY"
"Arts On Tour - NSW Ltd","","Market Development Section","Regional Performing Arts Touring Fund","$165,443.00","18-NOV-2014","29-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Circus Oz t/u Circus Australia Limited","","Market Development Section","Regional Performing Arts Touring Fund","$340,783.00","18-NOV-2014","29-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Critical Stages","","Market Development Section","Regional Performing Arts Touring Fund","$135,946.00","18-NOV-2014","29-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Opera Australia (South Melbourne)","","Market Development Section","Regional Performing Arts Touring Fund","$418,131.00","18-NOV-2014","29-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Queensland Theatre Company","","Market Development Section","Regional Performing Arts Touring Fund","$247,331.00","18-NOV-2014","29-SEP-2014","QLD","AUSTRALIA","GRIFFITH"
"Tasdance Ltd","TasDance","Market Development Section","Regional Performing Arts Touring Fund","$46,727.00","18-NOV-2014","29-SEP-2014","TAS","AUSTRALIA","BASS"
"Australian Dance Theatre","ADT","Arts Organisations Division","Geek in Residence","$25,000.00","13-NOV-2014","30-SEP-2014","SA","AUSTRALIA","BOOTHBY"
"Barking Gecko Theatre Company Ltd","","Arts Organisations Division","Geek in Residence","$15,000.00","13-NOV-2014","30-SEP-2014","WA","AUSTRALIA","PERTH"
"Circus Oz t/u Circus Australia Limited","","Arts Organisations Division","Geek in Residence","$25,000.00","13-NOV-2014","30-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Diversity Arts Australia (DARTS)","Diversity Arts Australia","Arts Organisations Division","Geek in Residence","$5,000.00","13-NOV-2014","30-SEP-2014","NSW","AUSTRALIA","PARRAMATTA"
"Institute of Modern Art Limited","Institute of Modern Art","Arts Organisations Division","Geek in Residence","$25,000.00","13-NOV-2014","30-SEP-2014","QLD","AUSTRALIA","BRISBANE"
"Lucy Guerin Association Inc","","Arts Organisations Division","Geek in Residence","$10,000.00","13-NOV-2014","30-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"University of Melbourne through Asialink Centre","","Arts Organisations Division","Geek in Residence","$25,000.00","13-NOV-2014","30-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Australian Dance Theatre","ADT","Arts Organisations Division","Dance key organisations - international status","$100,000.00","11-NOV-2014","01-OCT-2014","SA","AUSTRALIA","BOOTHBY"
"Lyons-Reid, Jennifer","","Community Partnerships Section","Australia Council Fellowships","$100,000.00","07-NOV-2014","31-JUL-2014","SA","AUSTRALIA","MAYO"
"Evans, Alyson","","Community Partnerships Section","Kirk Robson Award","$10,000.00","07-NOV-2014","31-JUL-2014","NSW","AUSTRALIA","FARRER"
"Herrmann, Alysha","Alysha","Community Partnerships Section","Kirk Robson Award","$10,000.00","07-NOV-2014","31-JUL-2014","SA","AUSTRALIA","KINGSTON"
"Carroll, Tim","","Community Partnerships Section","Professional Development","$6,000.00","07-NOV-2014","05-SEP-2014","NSW","AUSTRALIA","GRAYNDLER"
"Hovane, Michelle","","Community Partnerships Section","Professional Development","$12,000.00","07-NOV-2014","05-SEP-2014","WA","AUSTRALIA","FREMANTLE"
"Lam, Elvin","","Community Partnerships Section","Professional Development","$11,873.00","07-NOV-2014","05-SEP-2014","VIC","AUSTRALIA","BRUCE"
"Arts OutWest Incorporated","","Community Partnerships Section","Projects (Under $20K)","$20,000.00","07-NOV-2014","05-SEP-2014","NSW","AUSTRALIA","CALARE"
"Bryon, Jordan","","Community Partnerships Section","Projects (Under $20K)","$19,930.00","07-NOV-2014","05-SEP-2014","NSW","AUSTRALIA","GRAYNDLER"
"Kage Physical Theatre Association Inc","","Community Partnerships Section","Projects (Under $20K)","$20,000.00","07-NOV-2014","05-SEP-2014","VIC","AUSTRALIA","BATMAN"
"Moogahlin Performing Arts Inc","","Community Partnerships Section","Projects (Under $20K)","$20,000.00","07-NOV-2014","05-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Tutti Arts Incorporated","Tutti Ensemble Inc.","Community Partnerships Section","Projects (Under $20K)","$20,000.00","07-NOV-2014","05-SEP-2014","SA","AUSTRALIA","BOOTHBY"
"Australian Pacific Arts Network","","Community Partnerships Section","Projects With Public Outcomes","$35,000.00","07-NOV-2014","05-SEP-2014","VIC","AUSTRALIA","BATMAN"
"Bankstown Youth Development Service Inc","","Community Partnerships Section","Projects With Public Outcomes","$27,000.00","07-NOV-2014","05-SEP-2014","NSW","AUSTRALIA","BLAXLAND"
"Common Ground Collective","","Community Partnerships Section","Projects With Public Outcomes","$28,800.00","07-NOV-2014","05-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Information and Cultural Exchange Inc (ICE)","ICE","Community Partnerships Section","Projects With Public Outcomes","$35,000.00","07-NOV-2014","05-SEP-2014","NSW","AUSTRALIA","PARRAMATTA"
"Powerhouse Youth Theatre Inc (t/a PYT | Fairfield)","PYT | Fairfield","Community Partnerships Section","Projects With Public Outcomes","$35,000.00","07-NOV-2014","05-SEP-2014","NSW","AUSTRALIA","MCMAHON"
"Doyle, Tony","Anthony Doyle","Community Partnerships Section","Ros Bower Award","$50,000.00","07-NOV-2014","31-JUL-2014","SA","AUSTRALIA","ADELAIDE"
"Beneforti, Kelly","","Community Partnerships Section","Structured Mentorships","$25,990.00","07-NOV-2014","05-SEP-2014","NT","AUSTRALIA","SOLOMON"
"Big hART Inc","","Theatre  Section","New Work - Creative Development - up to $35,000","$34,986.00","06-NOV-2014","04-AUG-2014","TAS","AUSTRALIA","BRADDON"
"Connecting From A Distance","","Theatre  Section","New Work - Creative Development - up to $35,000","$35,000.00","06-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","BEROWRA"
"Gravity and Other Myths","","Theatre  Section","New Work - Creative Development - up to $35,000","$21,060.00","06-NOV-2014","04-AUG-2014","SA","AUSTRALIA","ADELAIDE"
"Insite Arts International Pty Ltd ITF the Trustee for Insite Arts International Unit Trust","Insite Arts Trust","Theatre  Section","New Work - Creative Development - up to $35,000","$27,000.00","06-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Sisters Grimm","","Theatre  Section","New Work - Creative Development - up to $35,000","$34,500.00","06-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","WILLS"
"Yen, Anna","","Theatre  Section","New Work - Creative Development - up to $35,000","$35,000.00","06-NOV-2014","04-AUG-2014","QLD","AUSTRALIA","GRIFFITH"
"Acrobat Pty Ltd","","Theatre  Section","New Work - Production","$43,916.00","06-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","FARRER"
"Aphids Events Inc","","Theatre  Section","New Work - Production","$19,000.00","06-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Blacktown City Council","","Theatre  Section","New Work - Production","$37,579.00","06-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","GREENWAY"
"ERTH Visual and Physical Incorporated","","Theatre  Section","New Work - Production","$52,140.00","06-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Knock-em-Down Theatre","","Theatre  Section","New Work - Production","$31,011.00","06-NOV-2014","04-AUG-2014","NT","AUSTRALIA","SOLOMON"
"Milk Crate Theatre","","Theatre  Section","New Work - Production","$40,000.00","06-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Romeril, John","","Theatre  Section","New Work - Production","$30,000.00","06-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","BENDIGO"
"Sheehan, Stephen","","Theatre  Section","New Work - Production","$27,590.00","06-NOV-2014","04-AUG-2014","SA","AUSTRALIA","ADELAIDE"
"Baumann, Rebecca","","Visual Arts Section","Skills and Arts Development Helsinki Studio","$10,000.00","06-NOV-2014","20-AUG-2014","WA","AUSTRALIA","PERTH"
"FERRAN, ANNE","","Visual Arts Section","Skills and Arts Development Helsinki Studio","$10,000.00","06-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","WENTWORTH"
"Hislop, Mark","","Visual Arts Section","Skills and Arts Development Helsinki Studio","$10,000.00","06-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","WILLS"
"Waller, Ruth","","Visual Arts Section","Skills and Arts Development Helsinki Studio","$10,000.00","06-NOV-2014","20-AUG-2014","ACT","AUSTRALIA","FENNER"
"Pat Foster and Jen Berean","","Visual Arts Section","Skills and Arts Development ISCP Studio","$20,000.00","06-NOV-2014","20-AUG-2014","New York","USA",""
"Barclay, Ella","","Visual Arts Section","Skills and Arts Development London Studio","$10,000.00","06-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","WENTWORTH"
"Bush, Stephen","","Visual Arts Section","Skills and Arts Development London Studio","$10,000.00","06-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","CORANGAMITE"
"Turnbull, Katherine","Katie Turnbull","Visual Arts Section","Skills and Arts Development London Studio","$10,000.00","06-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","WENTWORTH"
"Walsh, Tricky","Tricky","Visual Arts Section","Skills and Arts Development London Studio","$10,000.00","06-NOV-2014","20-AUG-2014","TAS","AUSTRALIA","DENISON"
"Khamara, Justine","","Visual Arts Section","Skills and Arts Development Paris Studio","$10,000.00","06-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","BATMAN"
"Newman, Elizabeth","","Visual Arts Section","Skills and Arts Development Paris Studio","$10,000.00","06-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Austin, Lincoln","","Visual Arts Section","Skills and Arts Development Rome Studio","$10,000.00","06-NOV-2014","20-AUG-2014","QLD","AUSTRALIA","BLAIR"
"Brennan, Angela","","Visual Arts Section","Skills and Arts Development Rome Studio","$10,000.00","06-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","WILLS"
"Griffiths, Joseph","","Visual Arts Section","Skills and Arts Development Rome Studio","$10,000.00","06-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Ussher, Michelle","","Visual Arts Section","Skills and Arts Development Rome Studio","$10,000.00","06-NOV-2014","20-AUG-2014","","UK",""
"Headley, Christopher","","Visual Arts Section","Skills and Arts Development Tokyo Studio","$10,000.00","06-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Hinkley, Matthew","Matt Hinkley","Visual Arts Section","Skills and Arts Development Tokyo Studio","$10,000.00","06-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"ryui, koji","","Visual Arts Section","Skills and Arts Development Tokyo Studio","$10,000.00","06-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","WENTWORTH"
"Teakel, Wendy","","Visual Arts Section","Skills and Arts Development Tokyo Studio","$10,000.00","06-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","EDEN-MONARO"
"Kickstart Arts Inc","","Arts Organisations Division","Indigenous Creative Residencies","$30,000.00","05-NOV-2014","29-SEP-2014","TAS","AUSTRALIA","DENISON"
"La Boite Theatre Ltd","La Boite / Roundhouse Theatre company","Arts Organisations Division","Indigenous Creative Residencies","$30,000.00","05-NOV-2014","29-SEP-2014","QLD","AUSTRALIA","BRISBANE"
"Performing Lines Limited","Performing Lines","Arts Organisations Division","Indigenous Creative Residencies","$30,000.00","05-NOV-2014","29-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Haskings, Ry","","Visual Arts Section","Skills and Arts Development Barcelona Studio","$10,000.00","05-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Marburg, Amanda","","Visual Arts Section","Skills and Arts Development Barcelona Studio","$10,000.00","05-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Mason, Victoria","Vicki","Visual Arts Section","Skills and Arts Development Barcelona Studio","$10,000.00","05-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","BRUCE"
"Sheffer, Avital","","Visual Arts Section","Skills and Arts Development Barcelona Studio","$10,000.00","05-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","RICHMOND"
"Arnot, Tully","","Visual Arts Section","Skills and Arts Development Greene St Studio","$10,000.00","05-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","WARRINGAH"
"Ferretti, Emily","","Visual Arts Section","Skills and Arts Development Greene St Studio","$10,000.00","05-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","BATMAN"
"hanrahan, christopher","","Visual Arts Section","Skills and Arts Development Greene St Studio","$10,000.00","05-NOV-2014","20-AUG-2014","NEW YORK","USA",""
"Johnson, Jess","Jess Johnson","Visual Arts Section","Skills and Arts Development Greene St Studio","$10,000.00","05-NOV-2014","20-AUG-2014","NY - NEW YORK","USA",""
"La Boite Theatre Ltd","La Boite / Roundhouse Theatre company","Theatre  Section","Artform and Sector Development-Theatre","$39,365.00","04-NOV-2014","04-AUG-2014","QLD","AUSTRALIA","BRISBANE"
"Polyglot Theatre","","Theatre  Section","Artform and Sector Development-Theatre","$6,295.00","04-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","HIGGINS"
"Tregloan, Anna","","Theatre  Section","Artform and Sector Development-Theatre","$34,340.00","04-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Brennan, Tammy","","Theatre  Section","New Work - Creative Development - up to $15,000","$15,000.00","04-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","SYDNEY"
